PSGC_BRGY,both_age_6_to_16,Access_Scores_Queen,Access_Scores_Queen (distance only)
PH157001001,1610.0,0.12674072575395126,1.9095238095238094
PH157001002,874.0,0.12964885140859006,1.5159090909090909
PH157001003,1248.0,0.32316011760584357,3.526190476190477
PH157001004,525.0,0.16656429833568162,1.4166666666666667
PH157001005,609.0,0.17489326019757934,1.8333333333333333
PH157001007,782.0,0.17866060300230968,2.53452380952381
PH157001008,350.0,0.11906535992446256,1.1666666666666665
PH157001009,702.0,0.13157331153998172,1.6666666666666665
PH157001010,913.0,0.061795773414551204,0.6761904761904762
PH157001011,1005.0,0.17799967313155748,2.1666666666666665
PH157001012,437.0,0.17393270490933552,1.5333333333333332
PH157001013,732.0,0.1430618672833546,1.875
PH157001014,821.0,0.11906535992446256,1.1666666666666665
PH157001015,833.0,0.4135964505616813,4.825432900432902
PH157001016,887.0,0.10483087337188055,1.1670995670995672
PH157001017,672.0,0.2921072643984784,2.6587662337662334
PH157001018,895.0,0.14446638774585305,2.0
PH157002005,441.0,0.20790318425718482,1.6004329004329003
PH157002006,273.0,0.1541434570945308,1.4159090909090908
PH157002007,558.0,0.22031121897200623,1.5722222222222222
PH157002009,338.0,0.186175100623767,1.488888888888889
PH157002010,2056.0,0.0656464813868023,1.866666666666667
PH157002012,433.0,0.10056018024965506,0.6909090909090909
PH157002013,258.0,0.35930032621088714,2.1555555555555554
PH157002014,879.0,0.36969103111412094,3.3555555555555556
PH157002015,353.0,0.10566289486335195,0.7909090909090909
PH157002016,357.0,0.19212600754054251,1.0
PH157002017,567.0,0.13945584933032165,0.9666666666666668
PH157002018,286.0,0.3082917900056471,1.8222222222222222
PH157002019,416.0,0.19724746778994967,1.3337662337662337
PH157002021,485.0,0.20377843503946175,1.3333333333333333
PH157002022,443.0,0.16786046249704525,1.7222222222222223
PH157002023,474.0,0.07888951272615576,1.4666666666666666
PH157002024,381.0,0.1832053648973009,1.5722222222222222
PH157002025,296.0,0.16444606503418807,1.0999999999999999
PH157002026,935.0,0.13759281083134933,3.0380952380952375
PH157002027,3678.0,0.14135001287845914,5.266666666666667
PH157002030,1134.0,0.18519907788473686,1.9722222222222223
PH157002031,471.0,0.19322673748515132,1.5909090909090908
PH157002033,2224.0,0.08278757037496358,2.1714285714285713
PH157002034,392.0,0.15048209945952565,1.190909090909091
PH157002037,912.0,0.29288170570028194,2.658333333333334
PH157002040,333.0,0.20377843503946175,1.3333333333333333
PH157002042,464.0,0.165136188562001,1.6722222222222223
PH157002043,409.0,0.15128923730065713,0.976190476190476
PH157002044,451.0,0.20377843503946175,1.3333333333333333
PH157002045,1502.0,0.1173847070836786,2.6380952380952385
PH157002046,334.0,0.15128923730065713,0.976190476190476
PH157002047,2265.0,0.17981926928324998,6.238095238095237
PH157002048,1405.0,0.12434977949199588,3.4380952380952383
PH157002049,2346.0,0.13674546064850632,3.8380952380952382
PH157002050,1475.0,0.2087230322009484,7.038095238095237
PH157003002,416.0,0.13413133242787023,1.15
PH157003003,310.0,0.15516508698484627,0.9039682539682539
PH157003004,850.0,0.0932732777138717,0.8690476190476191
PH157003005,499.0,0.17565266095469698,1.4357142857142855
PH157003006,768.0,0.13479460624069844,1.1547619047619047
PH157003007,335.0,0.34717477985500833,2.2253968253968255
PH157003008,344.0,0.14094689700031138,0.8111111111111111
PH157003009,359.0,0.20847428007749014,1.392063492063492
PH157003012,619.0,0.13139260583214343,0.8206349206349206
PH157003013,578.0,0.1683767728979201,1.1468253968253967
PH157003014,1074.0,0.10862888330902636,0.9833333333333334
PH157003015,235.0,0.22025197112413492,1.642063492063492
PH157003016,407.0,0.19828463363747537,1.4452380952380952
PH157004001,529.0,0.2714158336787945,1.986904761904762
PH157004002,1132.0,0.20036222585731078,3.0
PH157004003,453.0,0.14738066162800734,0.8999999999999999
PH157004004,515.0,0.33517795610828865,2.286904761904762
PH157004005,386.0,0.20208745993480595,1.486904761904762
PH157004006,790.0,0.31980558556222954,2.3202380952380954
PH157004007,356.0,0.14738066162800734,0.8999999999999999
PH157004008,444.0,0.20208745993480595,1.486904761904762
PH157004009,483.0,0.17364788349521604,2.5
PH157004011,432.0,0.20208745993480595,1.486904761904762
PH157004012,326.0,0.24425669679626574,1.7440476190476188
PH157004013,399.0,0.14738066162800734,0.8999999999999999
PH157004014,1288.0,0.2105251624594395,3.5
PH157004015,220.0,0.20647253050972614,1.4583333333333333
PH157005001,384.0,0.06700141278848801,0.6666666666666666
PH157005004,791.0,0.16346070421307016,2.0
PH157005010,641.0,0.08516490589461784,1.3333333333333333
PH157005012,884.0,0.08012272565966097,0.9166666666666666
PH157005016,529.0,0.06586348411344597,1.3333333333333333
PH157005021,1037.0,0.052742171242273,1.0833333333333333
PH157005023,2873.0,0.06586348411344597,1.3333333333333333
PH157005025,1892.0,0.06833901534489349,2.0
PH157007002,362.0,0.16039596344537016,1.0
PH157007009,345.0,0.15961547360525516,1.1
PH157007010,418.0,0.11114882168718193,0.9833333333333332
PH157007012,157.0,0.17773983085458187,0.8333333333333333
PH157007026,303.0,0.12528819479897138,0.5
PH157007030,542.0,0.1436198571340117,1.15
