school_id,female_grade 1,female_grade 2,female_grade 3,female_grade 4,female_grade 5,female_grade 6,male_grade 1,male_grade 2,male_grade 3,male_grade 4,male_grade 5,male_grade 6,SCH_NAME,PSGC_BRGY
133469,18,20,12,18,0,0,20,20,18,14,0,0,Pantaon PS,PH153625028
133470,22,19,22,24,20,19,16,19,21,18,21,15,Pawak ES,PH153625030
133471,13,18,0,0,0,0,17,19,0,0,0,0,Pendolonan PS,PH153625032
133472,17,19,14,0,0,0,16,15,10,0,0,0,Sunggod ES,PH153625036
133476,22,20,22,0,0,0,20,20,18,0,0,0,Dilausan PS,PH153626007
133478,103,110,74,79,84,88,73,65,48,52,59,59,Lumba Masiu CES,PH153626012
133479,45,25,23,23,22,24,42,22,25,19,21,17,Lumbaca Ingud ES,PH153626014
133480,41,28,24,26,23,27,29,20,26,18,19,24,Lumbacalilod ES,PH153626016
133486,80,75,55,60,35,20,65,69,55,50,40,20,Pagalongan Miondas ES,PH153626030
133487,15,20,20,0,0,0,20,15,15,0,0,0,Mira-ato PS,PH153626030
133490,73,71,40,56,30,20,51,47,40,34,17,26,Tatayawan ES,PH153626050
133491,58,52,28,25,0,0,42,42,25,24,0,0,Bocalan PS,PH153626001
133492,101,79,39,31,30,32,82,51,25,34,32,30,Lalabuan ES,PH153626065
133493,54,28,25,0,0,0,42,21,24,0,0,0,Talub PS,PH153626049
133494,112,83,82,105,98,110,88,71,77,78,85,83,Tamparan CPES,PH153626038
133495,84,73,77,58,45,56,71,66,55,49,37,37,Tamparan Proper ES,PH153626043
133496,36,0,0,0,0,0,26,0,0,0,0,0,Tubok PS,PH153626054
133497,17,14,16,0,0,0,13,12,13,0,0,0,Bucalan PS,PH153627016
133498,16,10,14,14,0,0,14,17,13,17,0,0,Caramat ES,PH153627018
133499,27,15,29,25,20,23,23,21,28,26,16,22,Ilian-Dilabayan ES,PH153627022
133500,22,23,16,14,14,12,23,19,15,16,11,13,Moriatao Balindong ES,PH153627017
133501,17,18,17,15,13,12,20,17,16,14,12,15,Sambolawan ES,PH153627057
133502,17,0,0,0,0,0,7,0,0,0,0,0,Ririk PS,PH153627053
133503,43,33,41,37,41,33,26,32,32,32,33,36,Taraka CES,PH153627011
133504,31,27,23,24,20,28,27,21,16,18,20,17,77Th PC ES,PH153627056
133505,23,25,24,22,17,21,21,20,22,26,21,18,Boriongan ES,PH153627006
133506,19,17,0,0,0,0,18,15,0,0,0,0,Cormatan PS,PH153627014
133507,29,16,20,21,20,19,21,16,22,19,15,18,Dimayon ES,PH153627024
133508,22,17,15,21,26,19,18,22,24,25,17,22,Malungun ES,PH153627042
133509,53,42,50,40,37,50,51,44,34,39,37,28,Pitakus CES,PH153627046
133510,24,30,33,38,21,26,18,28,21,32,23,24,Zakba ES,PH153627047
133511,17,20,9,10,10,11,11,12,16,14,20,15,Amoyong ES,PH153630001
133512,17,25,20,28,28,19,41,26,11,22,11,12,Bout ES,PH153630007
133513,18,16,13,9,12,11,12,13,20,12,13,19,Cebuano Group ES,PH153630009
133514,15,13,8,0,0,0,13,9,12,0,0,0,Christian Village PS,PH153630010
133515,16,5,8,0,0,0,10,15,12,0,0,0,Diomil Village PS,PH153630003
133516,20,23,28,33,13,18,21,23,24,20,27,17,Kabatangan ES,PH153630016
133517,23,21,22,13,8,0,17,18,17,19,5,0,Kadingilan ES,PH153630017
133518,17,18,16,15,14,12,15,15,16,16,19,14,Kanipisan ES,PH153630014
133519,11,17,17,29,14,12,18,21,17,16,20,17,Katutungan ES,PH153630019
133520,11,6,3,3,0,0,9,2,4,6,0,0,Katutungan Norte ES,PH153630019
133521,15,9,10,14,10,8,15,15,15,12,10,9,Malaigang ES,PH153630025
133522,38,32,34,31,21,28,45,45,49,47,32,24,Milaya ES,PH153630029
133523,12,13,8,6,9,0,13,7,12,11,11,0,Muslim Village ES,PH153630031
133524,37,49,43,41,38,37,34,53,35,39,38,41,Pagalongan Community CES,PH153630033
133525,19,10,9,0,0,0,15,7,8,0,0,0,Pilintangan PS,PH153630014
133526,60,70,58,107,59,66,66,69,73,90,82,61,Wao Central Comm. Sch.,PH153630026
133527,111,107,117,128,137,136,91,82,108,131,125,132,Western Wao Pilot ES,PH153630011
133528,7,5,4,7,0,0,9,7,7,6,0,0,Balatin PS,PH153630002
133529,21,15,12,20,16,15,14,15,23,18,15,14,Buntongan ES,PH153630006
133530,37,42,53,61,46,48,45,67,49,53,58,47,Kilikili CES,PH153630022
133531,10,8,3,2,0,0,6,10,2,7,0,0,Mimbuaya PS,PH153630030
133532,8,9,5,10,10,5,6,8,9,11,5,5,North Park Area ES,PH153630035
133533,6,2,3,2,1,0,2,2,4,3,3,5,Pagayon ES,PH153630035
133534,17,14,10,11,18,16,13,13,13,19,18,15,Panang ES,PH153630034
133535,6,11,5,14,7,9,10,10,11,15,7,7,Pulacan (Campo II) ES,PH153630035
133536,13,13,10,7,11,13,13,13,14,15,10,8,Serran ES,PH153630038
133537,10,9,7,8,6,10,14,15,12,11,9,10,South Park Area ES,PH153630035
133539,42,65,41,52,45,31,35,42,45,32,36,29,Comara ES,
133540,77,66,66,65,79,86,66,64,62,73,56,48,Francfort CES,
133541,25,27,24,0,0,0,25,22,23,0,0,0,Natangcopan PS,
133542,49,57,48,53,56,25,45,39,46,42,39,36,Punud ES,
133543,25,0,0,0,0,0,15,0,0,0,0,0,Salam PS,
133544,21,23,20,20,20,28,21,26,19,24,23,23,Sumugot ES,
133545,15,17,43,45,39,43,11,12,36,33,40,35,Barua ES,PH153601005
133546,14,15,18,51,48,32,10,11,17,35,41,24,Cabombongan ES,PH153601015
133547,30,31,17,30,0,0,22,25,14,26,0,0,Gasan PS,PH153601007
133549,38,39,36,81,80,81,27,33,35,58,60,59,Kalawi CES,PH153601022
133552,18,19,40,0,0,0,13,13,25,0,0,0,Talob PS,PH153601025
133553,27,18,37,0,0,0,21,14,25,0,0,0,Tambo PS,PH153601026
133554,38,43,40,20,0,0,31,31,34,16,0,0,Tuka PS,PH153601027
133555,29,30,36,37,0,0,23,25,29,31,0,0,Tulain PS,PH153601016
133556,15,15,17,34,53,52,10,12,15,29,42,39,Ulodan ES,PH153601013
133557,33,41,40,45,35,40,34,23,27,27,26,30,Awani ES,PH153601006
