school_id,female_grade 1,female_grade 2,female_grade 3,female_grade 4,female_grade 5,female_grade 6,male_grade 1,male_grade 2,male_grade 3,male_grade 4,male_grade 5,male_grade 6,SCH_NAME,PSGC_BRGY
133191,4,3,1,0,0,0,4,8,5,3,0,0,Jose Abad Santos PS,PH150710010
133193,13,8,8,11,0,0,10,14,6,6,0,0,Lakandula ES,PH150710008
133196,14,16,13,9,0,0,11,15,16,9,0,0,Languyan ES,PH150710006
133198,8,0,0,0,0,0,11,1,3,0,0,0,Linongan PS,PH150708002
133199,19,15,16,21,21,12,14,20,24,16,12,6,Mamboring ES,PH150707025
133200,9,12,13,10,14,18,15,11,13,12,6,12,Mangalut ES,PH150708004
133201,7,8,0,0,0,0,9,11,0,0,0,0,Mataggan ES,PH150710010
133205,23,27,17,17,0,0,16,34,16,26,0,0,Saluyot PS,PH150710007
133206,21,36,19,31,15,18,24,23,18,15,24,14,Semut ES,PH150708007
133208,18,13,11,18,13,15,16,17,18,11,14,10,Sinangkapan ES,PH150707028
133209,12,14,15,17,17,31,21,18,22,13,10,22,Sinulatan ES,PH150707010
133210,16,11,13,7,11,18,11,14,6,8,9,12,Tuburan CES,PH150710011
133212,24,22,23,21,0,0,22,24,21,22,0,0,Abaga ES,PH153603001
133213,20,21,0,0,0,0,22,20,0,0,0,0,Badak PS,PH153603008
133214,23,21,0,0,0,0,19,21,0,0,0,0,Barrit PS,PH153603008
133215,23,21,21,21,0,0,22,23,23,22,0,0,Borakis PS,PH153603013
133216,44,23,0,0,0,0,38,20,0,0,0,0,Buaditara PS,PH153603021
133217,34,21,20,25,25,27,31,24,28,27,23,25,Bualan ES,PH153603014
133218,52,33,33,35,46,29,47,33,30,32,38,22,Cadapaan ES,PH153603015
133219,38,41,47,41,41,40,44,40,42,40,42,41,Lilod ES,PH153603031
133220,65,61,66,63,63,64,65,63,60,62,61,65,Lilod-Raya Pilot ES,PH153603046
133221,23,19,20,20,0,0,22,20,24,19,0,0,Limbo PS,PH153603033
133222,40,42,21,22,0,0,44,39,20,18,0,0,Lumbac PS,PH153603036
133223,47,46,38,41,45,42,49,49,47,49,46,45,Lombayao CES,PH153603032
133224,52,52,29,27,25,25,39,34,25,24,23,24,Nusa ES,PH153603031
133225,80,76,70,73,71,64,79,75,81,74,77,72,Balindong CES,PH153603047
133227,20,19,20,22,0,0,22,16,18,21,0,0,Bliss PS,PH153603055
133228,20,23,19,0,0,0,24,17,21,0,0,0,Buadintad PS,PH153603005
133229,28,20,23,29,40,28,28,21,17,43,40,24,Bubong Lalabuan ES,PH153603009
133231,22,17,21,0,0,0,22,22,20,0,0,0,Calimodan PS,PH153603056
133232,48,28,25,39,23,20,42,20,20,35,22,18,Dado ES,PH153603022
133234,46,38,39,44,50,46,43,44,44,52,47,39,Dilausan ES,PH153603025
133235,23,18,15,0,0,0,23,22,25,0,0,0,Lalabuan PS,PH153603029
133237,48,49,49,48,47,47,48,44,48,46,48,42,Malaig ES,PH153603056
133238,24,22,20,21,0,0,25,21,20,21,0,0,Pagayawan PS,PH153603043
133239,25,0,0,0,0,0,25,0,0,0,0,0,Paigoay PS,PH153603044
133240,26,0,0,0,0,0,19,0,0,0,0,0,Pantao Raya PS,PH153603005
133241,23,26,18,0,0,0,21,25,18,0,0,0,Pantaragaoo PS,PH153603006
133242,25,22,19,18,0,0,20,18,22,22,0,0,Talob PS,PH153603050
133243,32,33,25,0,0,0,30,31,24,0,0,0,Tuka PS,PH153603053
133244,20,0,0,0,0,0,18,0,0,0,0,0,Bagoa-ingud PS,PH153606002
133245,27,38,28,25,17,21,26,32,15,19,19,17,Bubong ES,PH153606007
133246,22,21,0,0,0,0,18,15,0,0,0,0,Dilimbayan PS,PH153606007
133247,23,20,24,18,20,0,18,20,16,21,19,0,Matampay ES,PH153606031
133249,41,41,38,38,37,40,32,34,35,34,36,40,Panalawan-Montian CES,PH153606038
133250,33,43,40,40,44,45,38,41,39,34,29,27,Pindoguan ES,PH153606041
133251,54,70,67,63,43,50,39,57,50,48,40,40,Batangan CES,PH153606005
133252,22,23,23,23,0,0,20,21,20,20,0,0,Carigongan PS,PH153606011
133253,42,40,41,0,0,0,33,30,31,0,0,0,Datu Alambas PS,PH153606051
133254,23,27,23,24,0,0,21,22,20,21,0,0,Dimapatoy PS,PH153606015
133255,25,26,25,30,25,23,24,19,22,20,20,21,Pantar ES,PH153606039
133256,42,53,45,23,26,25,40,40,39,17,27,19,Rogero ES,PH153606049
133257,26,25,24,24,22,0,17,19,20,23,18,0,Sunggod Malungun ES,PH153606052
133258,21,22,0,0,0,0,16,19,0,0,0,0,Bacolod PS,PH153633001
133259,27,24,21,24,0,0,18,17,19,15,0,0,Buadiposo PS,PH153633006
133260,25,20,22,22,22,20,20,21,14,17,16,17,Buntong Pob. ES (Main),PH153633019
133261,24,24,18,19,22,17,16,20,15,17,12,21,Catogonan ES,PH153633014
133263,14,20,25,24,23,22,12,17,16,17,17,19,Gata ES,PH153633011
133264,22,22,23,23,23,21,18,19,17,16,15,16,Lumbac ES,PH153633015
133265,27,21,23,22,22,23,17,17,15,17,18,18,Lumbatan ES,PH153633018
133266,22,21,21,21,22,23,21,22,21,22,23,20,Ragondingan CES,PH153633042
133267,21,20,18,0,0,0,18,19,20,0,0,0,Sapot PS,PH153633026
133268,25,20,16,0,0,0,15,19,19,0,0,0,Tuka PS,PH153633031
133269,23,21,21,18,18,22,20,19,21,17,20,23,Alangadi ES,PH153624094
133270,57,47,45,38,46,49,62,38,35,41,43,41,Buayaan ES,PH153624091
133271,55,63,65,60,47,48,66,57,55,59,43,42,Pagalongan CES,PH153624016
133272,23,21,22,21,26,27,17,21,22,22,23,23,Pugaan ES,PH153624058
133273,21,24,25,27,25,26,22,15,9,13,14,14,Batal Pagilidan ES,PH153624070
133274,53,49,22,26,0,0,31,28,14,9,0,0,Dangipurampiai ES,PH153624027
133275,58,48,49,49,48,51,36,30,27,31,32,30,Rantian ES,PH153624082
133276,69,47,56,49,35,48,38,29,38,28,38,26,Sultan Alauya Alonto CES,PH153624078
133277,28,22,24,23,25,23,17,18,15,19,15,18,Barimbingan ES,PH153624006
133278,24,21,23,26,25,24,22,16,19,18,19,16,Bayabao Ramain ES,PH153624009
133279,38,28,26,24,0,0,12,19,20,21,0,0,Buadababai PS,PH153624012
133280,24,22,14,21,18,17,18,18,21,14,12,13,Dimadap-Talub ES,PH153624087
133281,25,20,23,21,21,25,28,20,22,20,17,20,Gadongan ES,PH153624033
133282,14,17,14,0,0,0,11,17,16,0,0,0,Campo PS,PH153610038
133283,19,23,20,21,20,20,20,23,20,17,19,20,Dimagalin ES,PH153610007
133284,12,10,0,0,0,0,12,12,0,0,0,0,Dimunda PS,PH153610008
133285,22,21,28,23,23,26,21,18,21,21,20,19,Kapai ES,PH153610012
133286,10,0,0,0,0,0,10,0,0,0,0,0,Kapai Proper PS,PH153610012
133287,12,15,0,0,0,0,13,11,0,0,0,0,Kianibong PS,PH153638015
133288,11,12,0,0,0,0,11,12,0,0,0,0,Kibolos Manginsokor PS,PH153610031
133289,15,20,0,0,0,0,10,15,0,0,0,0,Kining PS,PH153610032
133290,26,21,32,33,26,22,36,29,36,34,22,22,Lidasan CES,PH153610036
133291,6,0,0,0,0,0,9,0,0,0,0,0,Macadar PS,PH153610037
133292,15,16,0,0,0,0,11,10,0,0,0,0,Malna PS,PH153610017
133293,20,22,31,25,23,30,20,18,29,23,25,26,Mimbaguiang ES,PH153638030
133294,12,12,0,0,0,0,13,15,0,0,0,0,Pagalongan PS,PH153610018
133295,14,24,24,17,0,0,21,16,20,24,0,0,Parao Proper ES,PH153610019
133296,20,22,19,22,25,28,25,23,23,28,26,18,Pindolonan-Parao ES,PH153610033
133297,13,0,0,0,0,0,12,0,0,0,0,0,Punud PS,PH153610003
133298,29,14,22,23,0,0,20,28,18,18,0,0,Bantayao PS,PH153611008
133299,25,28,22,23,0,0,15,13,18,17,0,0,Bararay PS,PH153611083
133300,28,27,0,0,0,0,17,13,0,0,0,0,Bubong Dangadar PS,PH153611091
133301,28,25,27,28,27,0,12,14,16,12,14,0,Calilangan ES,PH153611021
133302,33,25,26,0,0,0,17,18,17,0,0,0,Cormatan Langban PS,PH153611027
133303,26,26,27,0,0,0,17,16,12,0,0,0,Datu Macud PS,PH153611054
133304,68,74,46,57,52,49,55,51,37,29,37,36,General Metoker Lamping ES,PH153611065
133305,27,26,26,0,0,0,16,16,14,0,0,0,Lalangitun PS,PH153611046
133306,76,78,86,77,54,53,59,55,49,59,33,35,Salaman CES,PH153611058
133307,47,55,56,55,56,53,46,38,33,33,30,37,Taluan ES,PH153611047
133308,15,12,20,0,0,0,15,13,12,0,0,0,Agagan-Dansalan PS,PH153611097
133309,49,42,39,41,43,45,39,37,36,36,35,37,Bacayawan ES,PH153611055
133310,43,45,46,51,41,43,32,30,35,27,31,27,Bacolod ES,PH153611003
133311,48,43,49,41,40,45,32,39,32,37,35,37,Dagalangit CES,PH153611097
133312,34,29,40,31,40,43,30,27,30,30,29,28,Dilindongan ES,PH153611035
133313,19,28,0,0,0,0,15,20,0,0,0,0,Lumbac Lolong PS,PH153611089
133314,21,15,28,0,0,0,21,17,12,0,0,0,Pagayawan PS,PH153611070
133315,10,0,0,0,0,0,6,0,0,0,0,0,Sariguidan Madiar PS,PH153611085
133316,24,24,19,0,0,0,22,21,20,0,0,0,Baugan PS,PH153611011
133317,31,43,42,19,21,23,24,37,38,19,24,22,Buadi-Inambay ES,PH153611019
133318,25,20,20,0,0,0,25,20,20,0,0,0,Gadongan PS,PH153611039
133319,44,45,45,47,51,47,36,34,35,33,39,41,Galawan-Dialongana CES,PH153611052
133320,41,20,20,0,0,0,39,20,19,0,0,0,Lolong PS,PH153611089
133321,41,54,49,49,50,45,31,31,35,31,43,45,Maribo ES,PH153611077
133322,23,23,21,22,0,0,17,17,17,18,0,0,Tongcopan ES,PH153611096
133323,43,23,19,25,19,18,43,21,23,23,17,19,Balintao ES,PH153634006
133324,74,89,68,66,63,49,51,66,56,57,60,39,Borocot CES,PH153634007
133325,37,37,20,23,20,24,41,42,20,21,20,18,Bato-Bato ES,PH153634008
133326,42,51,70,36,40,40,41,36,69,49,39,37,Bolao-Dilausan CES,PH153634004
133327,24,18,0,0,0,0,15,13,0,0,0,0,Burua PS,PH153634009
133328,46,44,42,24,24,21,34,38,34,20,18,19,Candanga-Malungun ES,PH153634033
133329,46,26,25,24,0,0,29,15,15,14,0,0,Dilausan Poblacion PS,PH153634019
133330,27,25,24,0,0,0,18,20,16,0,0,0,Dilimbayan PS,PH153634020
133331,23,18,22,18,23,16,14,17,16,17,13,19,Maguing Proper ES,PH153634032
133332,62,55,39,36,18,30,57,52,42,36,22,10,Malungun ES,PH153634033
133333,34,22,29,29,48,19,21,19,28,12,28,18,Siawadato ES,
133334,52,47,49,39,38,46,54,60,38,40,39,26,Bacayawan ES,PH153616001
133336,17,0,0,0,0,0,16,0,0,0,0,0,Bolao PS,PH153616023
133337,17,0,0,0,0,0,16,0,0,0,0,0,Borocos PS,PH153616005
133338,15,18,0,0,0,0,18,15,0,0,0,0,Bubong PS,PH153616107
133339,22,17,21,23,12,0,17,18,19,17,13,0,Bubong-Madanding ES,PH153616107
133340,18,0,0,0,0,0,16,0,0,0,0,0,Calapad PS,PH153616023
133341,51,52,44,45,40,38,48,51,38,36,38,32,Camalig ES,PH153616018
133342,18,19,0,0,0,0,15,15,0,0,0,0,Camalig Poblacion PS,PH153616022
133344,46,50,34,34,32,34,54,52,36,34,32,30,Cawayan ES,PH153616040
133345,17,16,0,0,0,0,16,16,0,0,0,0,Dialongana PS,PH153616025
133346,33,32,39,34,36,35,32,32,37,32,31,31,Kalaw ES,PH153616035
133347,25,25,22,23,20,0,20,23,28,20,15,0,Limadatu ES,PH153616105
133348,21,0,0,0,0,0,18,0,0,0,0,0,Luay PS,PH153616109
133349,17,19,0,0,0,0,19,16,0,0,0,0,Lumbac PS,PH153616047
133351,18,0,0,0,0,0,16,0,0,0,0,0,Pagalongan PS,PH153616061
133352,20,0,0,0,0,0,15,0,0,0,0,0,Pantar PS,PH153616105
133353,21,24,0,0,0,0,19,21,0,0,0,0,Pindolonan PS,PH153616018
133354,28,35,22,0,0,0,26,28,20,0,0,0,Ranao Bacolod PS,PH153616047
133355,53,50,69,67,54,56,58,60,55,55,48,48,Sultan Guro CES,PH153616023
133357,17,0,0,0,0,0,15,0,0,0,0,0,Tuca-Camalig PS,PH153616022
133358,18,23,0,0,0,0,22,28,0,0,0,0,Bacong PS,PH153616006
133359,60,62,69,68,47,42,59,59,60,59,40,40,Bae Simalao ES,PH153616097
133360,43,60,63,68,40,49,60,60,62,64,48,44,Daaningud-Bacong ES,PH153616026
133361,66,62,69,67,50,50,62,62,62,65,39,42,Ilian ES,PH153616108
133362,42,29,41,39,54,53,39,19,42,33,46,46,Kialdan ES,PH153616036
133363,25,27,26,27,26,0,26,24,20,26,25,0,Ranaranao ES,PH153616102
133364,76,108,102,95,132,115,100,96,101,81,114,87,Sultan Disomimba CES,PH153616072
133365,6,28,36,20,0,0,13,17,30,21,0,0,Sultan Disomimba CES - Annex,PH153616072
133366,40,20,19,17,0,0,39,20,19,20,0,0,Sultan Matanog PS,PH153616102
133367,22,23,0,0,0,0,21,21,0,0,0,0,Adigao PS,PH153618052
133368,25,22,21,23,23,23,18,22,21,16,19,22,Apa Mimbalay ES,PH153618053
133369,21,20,20,20,18,16,19,19,20,20,20,22,Buadiamaloy ES,PH153618089
133370,25,23,22,20,25,25,18,20,18,24,23,23,Cormatan ES,PH153618082
133371,21,21,19,22,0,0,19,23,20,17,0,0,Ditopor Bugaran PS,PH153618018
133372,20,21,22,21,25,25,20,19,18,20,20,20,Macadaag ES,PH153618045
133373,26,23,24,24,24,23,23,19,22,21,23,20,Magandia Amaloy ES,PH153618040
133374,41,42,38,42,41,40,36,35,44,30,33,32,Masiu CES,PH153618034
133376,22,21,25,22,22,20,21,20,23,22,19,20,Mimbalay ES,PH153618047
133377,25,25,0,0,0,0,25,20,0,0,0,0,Acopa PS,PH153618083
133378,30,25,0,0,0,0,22,20,0,0,0,0,Balbal Solukun PS,PH153618008
133379,29,40,40,40,23,23,23,41,37,43,21,21,Buadinggal ES,PH153618044
133380,30,25,29,27,24,26,29,21,19,22,25,25,Coloyan ES,PH153618035
133381,27,25,49,48,34,24,23,26,42,43,30,23,Dayawan ES,PH153618088
133382,30,30,15,21,18,25,25,26,18,16,21,17,Dimabara ES,PH153618035
133383,20,20,23,0,0,0,25,25,22,0,0,0,Dimapatoy PS,PH153618041
133384,30,20,45,25,22,20,25,15,36,20,21,26,Lower Balaigay ES,PH153618041
133385,26,22,23,0,0,0,24,20,20,0,0,0,Lumbacasawer PS,PH153618035
133386,20,24,0,0,0,0,15,16,0,0,0,0,Macasalong Island PS,PH153618035
133387,42,26,40,40,20,19,40,24,40,39,20,21,Manalocon Talub ES,PH153618055
133388,58,58,57,49,55,60,56,53,58,47,50,49,Pangandaman CES,PH153618069
133389,23,19,29,38,0,0,25,17,23,38,0,0,Radiab Tomaritib PS,PH153618069
133390,25,25,53,32,31,25,25,25,47,29,22,25,Sawer ES,PH153618035
133391,28,50,45,50,39,50,23,30,33,34,19,30,Sultan Macatingag ES,PH153618008
