osm_id,PSGC_BRGY_LIST,PROV_LIST
135493625,"{'PH153629038', 'PH153629014'}",{'LANAO DEL SUR'}
135493626,"{'PH153629038', 'PH153629010', 'PH153629014'}",{'LANAO DEL SUR'}
135512648,"{'PH153621037', 'PH153621034', 'PH153621038', 'PH153621035', 'PH153621025'}",{'LANAO DEL SUR'}
88790300,set(),set()
88790480,set(),set()
135407126,"{'PH153625027', 'PH153625020', 'PH153625006', 'PH153625009', 'PH153625028', 'PH153625033', 'PH153625018'}",{'LANAO DEL SUR'}
135409430,"{'PH153625006', 'PH153625010', 'PH153625005'}",{'LANAO DEL SUR'}
135409431,"{'PH153625019', 'PH153625005', 'PH153625026'}",{'LANAO DEL SUR'}
135514278,{'PH153625008'},{'LANAO DEL SUR'}
135514281,"{'PH153625030', 'PH153625004', 'PH153625008'}",{'LANAO DEL SUR'}
135514571,set(),set()
135518590,set(),set()
135518596,set(),set()
135518603,set(),set()
135518605,set(),set()
135518621,set(),set()
135518622,set(),set()
135518625,set(),set()
135518627,set(),set()
135519365,set(),set()
135519367,set(),set()
135519613,set(),set()
142225490,set(),set()
142259667,set(),set()
278209428,set(),set()
401263857,"{'PH153625030', 'PH153625004', 'PH153625033', 'PH153625032'}",{'LANAO DEL SUR'}
95775252,"{'PH153811017', 'PH153811025'}",{'MAGUINDANAO'}
95775271,"{'PH153811018', 'PH153818012', 'PH153818005', 'PH153818003'}",{'MAGUINDANAO'}
95775278,"{'PH153818006', 'PH153818013'}",{'MAGUINDANAO'}
169790348,"{'PH153811008', 'PH153811018', 'PH153811025'}",{'MAGUINDANAO'}
212571502,{'PH153802001'},{'MAGUINDANAO'}
212571503,"{'PH153802002', 'PH153802001'}",{'MAGUINDANAO'}
212584991,"{'PH153811018', 'PH153818009'}",{'MAGUINDANAO'}
212584992,{'PH153802005'},{'MAGUINDANAO'}
212584993,"{'PH153818009', 'PH153802002'}",{'MAGUINDANAO'}
212584994,{'PH153802005'},{'MAGUINDANAO'}
308625192,"{'PH153818006', 'PH153802005'}",{'MAGUINDANAO'}
308625247,{'PH153802005'},{'MAGUINDANAO'}
327519820,"{'PH153818014', 'PH153818007', 'PH153818004', 'PH153818006', 'PH153818002', 'PH153811028', 'PH153811020', 'PH153811009'}",{'MAGUINDANAO'}
327519934,"{'PH153811018', 'PH153811030'}",{'MAGUINDANAO'}
642358448,"{'PH153802021', 'PH153802001'}",{'MAGUINDANAO'}
97820937,"{'PH153605020', 'PH153612038', 'PH153604020', 'PH153605033', 'PH153612028', 'PH153605022', 'PH153612017', 'PH153636036', 'PH153612001', 'PH153605025', 'PH153604030', 'PH153604014', 'PH153605006', 'PH153604025', 'PH153604044', 'PH153636008', 'PH153604053', 'PH153636035', 'PH153636025', 'PH153636026', 'PH153604055', 'PH153605015', 'PH153636010'}",{'LANAO DEL SUR'}
97820958,"{'PH153641009', 'PH153612021', 'PH153612017', 'PH153612050', 'PH153612018', 'PH153612001', 'PH153612011', 'PH153612033'}",{'LANAO DEL SUR'}
97820967,"{'PH153604034', 'PH153604037', 'PH153604019', 'PH153604054', 'PH153604032'}",{'LANAO DEL SUR'}
102476974,"{'PH153604034', 'PH153604037', 'PH153604054', 'PH153604003', 'PH153604033', 'PH153604044'}",{'LANAO DEL SUR'}
97820930,"{'PH153605033', 'PH153620011', 'PH153620005'}",{'LANAO DEL SUR'}
68757084,"{'PH157002017', 'PH157002007', 'PH157002042', 'PH157002013', 'PH157002018', 'PH157002014', 'PH157002009'}",{'TAWI-TAWI'}
68757085,"{'PH157002030', 'PH157002023'}",{'TAWI-TAWI'}
89533939,"{'PH157002026', 'PH157002023'}",{'TAWI-TAWI'}
89533943,{'PH157002030'},{'TAWI-TAWI'}
89533948,"{'PH157002027', 'PH157002047', 'PH157002033', 'PH157002049', 'PH157002026'}",{'TAWI-TAWI'}
89533965,"{'PH157002047', 'PH157002045', 'PH157002023'}",{'TAWI-TAWI'}
89533969,{'PH157002042'},{'TAWI-TAWI'}
89533973,{'PH157002030'},{'TAWI-TAWI'}
89533974,{'PH157002030'},{'TAWI-TAWI'}
353347190,"{'PH157001016', 'PH157001017', 'PH157002019', 'PH157002005', 'PH157002012', 'PH157001002'}",{'TAWI-TAWI'}
425537709,"{'PH157002042', 'PH157002030'}",{'TAWI-TAWI'}
425537710,{'PH157002042'},{'TAWI-TAWI'}
425538299,{'PH157002026'},{'TAWI-TAWI'}
425538300,"{'PH157002033', 'PH157002026'}",{'TAWI-TAWI'}
425538420,{'PH157002026'},{'TAWI-TAWI'}
425538872,{'PH157002026'},{'TAWI-TAWI'}
497138486,{'PH157001002'},{'TAWI-TAWI'}
497138489,{'PH157002017'},{'TAWI-TAWI'}
497138490,{'PH157002017'},{'TAWI-TAWI'}
500178475,"{'PH157001007', 'PH157001001', 'PH157001013'}",{'TAWI-TAWI'}
500178476,"{'PH157001013', 'PH157001002'}",{'TAWI-TAWI'}
500178477,"{'PH157001015', 'PH157001013', 'PH157001002'}",{'TAWI-TAWI'}
500178479,"{'PH157001017', 'PH157001015', 'PH157001002'}",{'TAWI-TAWI'}
500178480,{'PH157001017'},{'TAWI-TAWI'}
500178481,{'PH157001017'},{'TAWI-TAWI'}
556466522,{'PH157001002'},{'TAWI-TAWI'}
556617773,"{'PH157002031', 'PH157001017'}",{'TAWI-TAWI'}
556619630,{'PH157001013'},{'TAWI-TAWI'}
557024414,"{'PH157002037', 'PH157002006', 'PH157001015'}",{'TAWI-TAWI'}
557185454,{'PH157002037'},{'TAWI-TAWI'}
557185462,{'PH157002037'},{'TAWI-TAWI'}
557185484,{'PH157002037'},{'TAWI-TAWI'}
557185487,{'PH157002037'},{'TAWI-TAWI'}
557188561,{'PH157001015'},{'TAWI-TAWI'}
557192780,{'PH157001002'},{'TAWI-TAWI'}
557195301,"{'PH157001017', 'PH157001002'}",{'TAWI-TAWI'}
557195302,"{'PH157001017', 'PH157001002'}",{'TAWI-TAWI'}
557212981,"{'PH157001016', 'PH157001017', 'PH157002005'}",{'TAWI-TAWI'}
557228611,"{'PH157002031', 'PH157002015', 'PH157002034'}",{'TAWI-TAWI'}
557228616,"{'PH157002019', 'PH157002012'}",{'TAWI-TAWI'}
