PSGC_BRGY,both_student_age_7_to_25,male_student_age_7_to_25,female_student_age_7_to_25,No_of_Schools,Perc_Households_Electricity_Light,Perc_Households_Kerosene_Gass_Light,Perc_Households_Drinking_Owned_Faucet,Perc_Households_Drinking_Shared_Faucet,number_of_roads,Nearest_School,Nearest_School_Distance
PH150703025,241.0,123.0,118.0,1.0,0.9107142857142857,0.08035714285714286,0.8839285714285714,0.09821428571428571,1,133058,0.013511898266069468
PH150703026,392.0,183.0,209.0,,0.012195121951219513,0.9817073170731707,0.0,0.006097560975609756,1,133027,0.01532555380248113
PH150703027,736.0,389.0,347.0,1.0,0.9540983606557377,0.003278688524590164,0.0,0.003278688524590164,0,133033,0.010887307989580871
PH150703029,177.0,102.0,75.0,1.0,0.7662337662337663,0.23376623376623376,0.0,0.03896103896103896,0,133044,0.006679975245373911
PH150703030,273.0,126.0,147.0,,0.05303030303030303,0.8560606060606061,0.015151515151515152,0.0,1,133044,0.016125429179651637
PH150703031,483.0,242.0,241.0,1.0,0.02072538860103627,0.6476683937823834,0.11917098445595854,0.0,0,133035,0.0015785334210904455
PH150703033,506.0,260.0,246.0,1.0,0.6550218340611353,0.30131004366812225,0.07860262008733625,0.5633187772925764,4,133041,0.00568307124759455
PH150703034,421.0,220.0,201.0,1.0,0.8468085106382979,0.09787234042553192,0.19148936170212766,0.2,5,133045,0.016230941633106975
PH150703035,263.0,133.0,130.0,1.0,0.8653846153846154,0.1346153846153846,0.0,0.038461538461538464,2,133027,0.007066892149229019
PH150703036,238.0,123.0,115.0,,0.024691358024691357,0.9506172839506173,0.024691358024691357,0.06172839506172839,1,133024,0.010959494201898793
PH150703037,239.0,119.0,120.0,1.0,0.9759036144578314,0.024096385542168676,0.012048192771084338,0.012048192771084338,0,133062,0.004740378717974861
PH150703038,372.0,193.0,179.0,1.0,0.14720812182741116,0.8426395939086294,0.0,0.07106598984771574,0,133043,0.005817246311156186
PH150704001,419.0,195.0,224.0,2.0,0.022727272727272728,0.7670454545454546,0.10795454545454546,0.011363636363636364,2,133056,0.004462524942538111
PH150704002,558.0,261.0,297.0,1.0,0.42786069651741293,0.5373134328358209,0.05472636815920398,0.15920398009950248,1,133050,0.003242215491253572
PH150704003,1387.0,639.0,748.0,1.0,0.004728132387706856,0.35933806146572106,0.01182033096926714,0.9810874704491725,3,133052,0.003881110922964091
PH150704004,530.0,283.0,247.0,,0.9875776397515528,0.012422360248447204,0.2111801242236025,0.7888198757763976,0,133035,0.05478234781537096
PH150704005,513.0,254.0,259.0,1.0,0.9844559585492227,0.010362694300518135,0.6580310880829016,0.34196891191709844,0,133061,0.00046140656188772117
PH150704006,365.0,192.0,173.0,,0.012987012987012988,0.006493506493506494,0.0,0.0,0,215005,0.00784578207066198
PH150704007,292.0,140.0,152.0,,0.23333333333333334,0.3111111111111111,0.022222222222222223,0.23333333333333334,0,133057,0.020407424502177564
PH150704008,194.0,92.0,102.0,1.0,0.0,0.0,0.03529411764705882,0.0,3,133099,0.01863980932843455
PH150704009,1676.0,847.0,829.0,2.0,0.9381625441696113,0.05653710247349823,0.7915194346289752,0.14487632508833923,15,304943,0.0015616673663080916
PH150704010,1115.0,572.0,543.0,1.0,0.8364116094986808,0.16358839050131926,0.741424802110818,0.013192612137203167,4,133066,0.0005133742693666238
PH150704011,2026.0,1024.0,1002.0,1.0,0.7796610169491526,0.21571648690292758,0.3035439137134052,0.6779661016949152,2,133063,0.0006937793649607569
PH150704012,2712.0,1340.0,1372.0,,0.9622411693057247,0.029232643118148598,0.53836784409257,0.4591961023142509,5,133063,0.002831760960026955
PH150704013,2123.0,1051.0,1072.0,3.0,0.8231780167264038,0.16487455197132617,0.6427718040621266,0.1983273596176822,9,406059,0.0020630853981049796
PH150704015,800.0,389.0,411.0,1.0,0.19505494505494506,0.7857142857142857,0.9505494505494505,0.008241758241758242,2,133068,0.010743229522901191
PH150704016,520.0,257.0,263.0,1.0,0.815668202764977,0.17972350230414746,0.1889400921658986,0.041474654377880185,2,133054,0.006125524341007171
PH150704017,426.0,192.0,234.0,1.0,0.0,0.7243589743589743,0.00641025641025641,0.9935897435897436,0,133067,0.008831148656197775
PH150704018,628.0,327.0,301.0,1.0,0.3629032258064516,0.592741935483871,0.008064516129032258,0.9596774193548387,2,133049,0.01288247312013454
PH150704019,552.0,309.0,243.0,1.0,0.016129032258064516,0.25806451612903225,0.043010752688172046,0.0,1,133057,0.011649329149434312
PH150704020,912.0,450.0,462.0,,0.7868852459016393,0.2098360655737705,0.6524590163934426,0.16721311475409836,3,304943,0.001512380136641191
